Date_Confirmed,AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,COAHUILA,COLIMA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
01-03-2020,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2020,,2.0,,1.0,,3.0,4.0,63.0,13.0,1.0,,,3.0,2.0,2.0,6.0,14.0,3.0,2.0,2.0,2.0,8.0,16.0,,4.0,6.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,
04-02-2020,6.0,3.0,,,,4.0,,81.0,14.0,,,1.0,4.0,6.0,7.0,11.0,27.0,,,,8.0,,,,9.0,,,,8.0,5.0,,,,1.0
04-03-2020,7.0,4.0,,3.0,1.0,6.0,5.0,119.0,21.0,2.0,,,5.0,8.0,9.0,23.0,32.0,,5.0,,9.0,,24.0,3.0,17.0,8.0,13.0,2.0,16.0,7.0,4.0,6.0,9.0,
04-04-2020,8.0,5.0,,9.0,3.0,7.0,6.0,195.0,23.0,,,3.0,6.0,,11.0,27.0,38.0,5.0,7.0,3.0,12.0,,40.0,4.0,26.0,,36.0,7.0,25.0,10.0,5.0,8.0,12.0,4.0
04-05-2020,,12.0,,10.0,,12.0,7.0,280.0,31.0,,,5.0,,12.0,13.0,31.0,51.0,6.0,8.0,,15.0,11.0,58.0,6.0,34.0,10.0,44.0,8.0,36.0,16.0,7.0,11.0,17.0,
06-03-2020,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,
06-04-2020,10.0,25.0,,17.0,4.0,14.0,10.0,,51.0,3.0,72.0,6.0,13.0,16.0,14.0,52.0,94.0,9.0,10.0,5.0,34.0,13.0,73.0,9.0,45.0,14.0,51.0,10.0,49.0,20.0,,19.0,19.0,6.0
07-03-2020,,,,,,,,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2020,19.0,42.0,,26.0,5.0,19.0,11.0,364.0,62.0,4.0,,9.0,20.0,21.0,17.0,65.0,128.0,22.0,13.0,,53.0,16.0,96.0,13.0,57.0,19.0,66.0,18.0,60.0,24.0,11.0,22.0,34.0,8.0
08-04-2020,28.0,68.0,,36.0,6.0,24.0,12.0,474.0,72.0,5.0,,11.0,28.0,27.0,22.0,77.0,166.0,35.0,16.0,,73.0,19.0,121.0,17.0,71.0,24.0,81.0,28.0,70.0,29.0,15.0,25.0,50.0,10.0
09-04-2020,35.0,82.0,,41.0,7.0,25.0,,540.0,79.0,6.0,,13.0,37.0,29.0,24.0,91.0,192.0,44.0,18.0,,83.0,23.0,138.0,19.0,81.0,27.0,90.0,35.0,78.0,32.0,19.0,27.0,62.0,11.0
10-04-2020,44.0,101.0,,52.0,8.0,28.0,19.0,642.0,90.0,7.0,,15.0,48.0,33.0,29.0,104.0,238.0,56.0,22.0,,100.0,27.0,162.0,22.0,96.0,32.0,112.0,44.0,91.0,36.0,26.0,30.0,77.0,13.0
11-03-2020,,,,,,,,644.0,,,,,,,,,239.0,,,,101.0,,,23.0,,,,,,,,,,
11-04-2020,53.0,118.0,,62.0,9.0,30.0,25.0,737.0,102.0,8.0,,17.0,60.0,36.0,32.0,117.0,279.0,66.0,24.0,,119.0,31.0,185.0,26.0,114.0,36.0,131.0,53.0,105.0,39.0,31.0,33.0,92.0,14.0
12-03-2020,,,,,,,,,,,,18.0,,,,,280.0,,,,,,,27.0,,,,,,,,,,
12-04-2020,62.0,145.0,,75.0,10.0,32.0,31.0,855.0,114.0,9.0,,20.0,72.0,41.0,37.0,130.0,324.0,79.0,26.0,,140.0,35.0,212.0,32.0,133.0,40.0,153.0,63.0,119.0,43.0,37.0,37.0,108.0,15.0
13-03-2020,,,,,,,,861.0,,,,,,,,,,,,,,,213.0,34.0,134.0,,,,,,,,109.0,
13-04-2020,69.0,171.0,,85.0,12.0,33.0,32.0,948.0,127.0,10.0,,22.0,84.0,46.0,40.0,143.0,357.0,89.0,28.0,,155.0,39.0,229.0,36.0,150.0,42.0,175.0,73.0,129.0,47.0,41.0,40.0,125.0,16.0
14-03-2020,,,,,,,,954.0,,,,,,,,145.0,358.0,,,,157.0,40.0,231.0,,,43.0,,,,,,,,
14-04-2020,76.0,197.0,,95.0,14.0,34.0,34.0,1057.0,143.0,11.0,,23.0,97.0,54.0,44.0,158.0,394.0,99.0,30.0,,172.0,44.0,248.0,38.0,167.0,46.0,197.0,83.0,141.0,51.0,45.0,43.0,141.0,17.0
15-03-2020,,,,,,,,1058.0,,,,24.0,,56.0,,,,,,,174.0,45.0,249.0,40.0,,47.0,198.0,,,,,,,
